STAID,BAS_COMPACTNESS,LAT_CENT,LONG_CENT
01011000,1.29,46.655792,-69.296655
01013500,0.87,47.007784,-68.575618
01015800,0.91,46.396976,-68.629100
01016500,1.11,46.632298,-68.763480
01017000,0.96,46.528766,-68.585059
01017060,2.80,46.776781,-68.014522
01017290,1.00,47.006867,-68.126968
01017550,2.90,46.643099,-67.969734
01017960,1.70,46.114493,-68.004105
01018000,1.29,46.071826,-67.953457
01018009,2.05,46.085506,-67.816541
01019000,1.56,45.271916,-67.965269
01021200,1.77,45.020155,-67.375973
01021470,2.10,44.780368,-67.746135
01021480,1.66,44.986899,-67.792552
01021500,0.99,44.949553,-67.840130
01022260,1.02,44.774892,-67.913266
01022330,1.36,44.890742,-68.086491
01022500,1.13,44.781098,-68.061016
01023000,1.10,44.994398,-68.295240
01027200,1.75,46.062804,-70.101778
01029200,1.18,46.236128,-68.633101
01029500,0.72,46.124295,-68.907950
01030000,0.79,45.972405,-69.240925
01030500,1.24,45.804386,-68.149199
01031300,1.61,45.332094,-69.667476
01031450,1.73,45.157321,-69.587759
01031500,1.17,45.235422,-69.580028
01031510,1.46,45.112804,-69.180849
01033000,1.26,45.359421,-69.378360
01033500,1.31,45.482556,-69.160608
01034000,1.38,45.333458,-69.316841
01034500,0.72,45.766121,-68.952015
01035000,1.17,45.201533,-68.251041
01036500,1.24,44.966913,-69.062551
01037380,2.12,44.361170,-69.097872
01038000,1.16,44.346355,-69.476216
01041000,1.00,45.644619,-69.978179
01042500,1.20,45.601889,-69.954936
01043500,1.21,45.185008,-70.503771
01044550,2.20,45.446950,-70.264888
01045000,1.33,45.258101,-70.417756
01046000,1.54,45.154411,-69.789806
01046500,1.06,45.452356,-70.099506
01047000,1.42,44.987902,-70.161395
01047150,1.21,45.374198,-70.093920
01047200,2.00,44.855218,-70.543295
01048000,1.13,44.738785,-70.245789
01048220,1.14,45.025142,-69.681871
01049000,0.84,44.912692,-69.366081
01049265,0.87,45.122422,-69.941420
01049500,1.32,44.253619,-69.945036
01052500,2.82,44.962166,-71.173299
01053500,1.18,44.983930,-70.925273
01053600,1.34,44.957633,-70.954236
01054000,1.20,44.904033,-70.980559
01054200,2.20,44.310448,-71.059248
01054300,2.13,44.667581,-70.761146
01054500,1.13,44.756487,-70.950474
01055000,1.98,44.751816,-70.626561
01055500,1.30,44.339761,-70.358004
01057000,2.10,44.345047,-70.602496
01058500,1.34,44.198318,-70.490431
01059000,0.96,44.624566,-70.742264
01059800,2.33,43.933922,-70.341669
01060000,1.18,43.933535,-70.245690
01064000,1.14,44.042989,-70.639453
01064118,0.94,43.971106,-70.582249
01064300,2.84,44.246041,-71.269099
