STAID,PESTAPP_KG_SQKM
01011000,0.0
01013500,47.7
01015800,2.7
01016500,1.3
01017000,17.8
01017060,432.9
01017290,96.2
01017550,490.7
01017960,109.7
01018000,95.9
01018009,182.8
01019000,0.1
01021200,0.1
01021470,0.0
01021480,0.0
01021500,0.0
01022260,0.0
01022330,0.0
01022500,0.0
01023000,0.0
01027200,0.0
01029200,0.0
01029500,0.3
01030000,0.6
01030500,17.2
01031300,0.5
01031450,1.7
01031500,2.4
01031510,6.3
01033000,0.8
01033500,0.4
01034000,2.3
01034500,4.8
01035000,0.8
01036500,35.3
01037380,1.6
01038000,4.9
01041000,0.1
01042500,0.1
01043500,0.0
01044550,0.0
01045000,0.0
01046000,0.8
01046500,0.1
01047000,0.4
01047150,0.2
01047200,0.0
01048000,0.9
01048220,1.5
01049000,14.3
01049265,2.9
01049500,6.3
01052500,0.0
01053500,0.1
01053600,0.1
01054000,0.2
01054200,0.0
01054300,1.9
01054500,1.3
01055000,1.2
01055500,15.1
01057000,54.6
01058500,23.2
01059000,8.1
01059800,1.2
01060000,5.3
01064000,4.3
01064118,4.3
01064300,0.0
01064400,0.0
01064500,0.1
01064801,0.1
01065000,0.2
01065500,3.9
01066000,3.9
01066500,9.2
01067950,0.9
01068910,15.8
01069500,16.7
01069700,0.7
01072500,3.0
01072800,3.6
01072870,1.2
01073000,12.9
01073319,2.3
01073500,1.7
010735562,5.4
01073587,4.6
01073600,3.8
01073785,10.7
01074520,0.0
01075000,0.0
01075800,0.2
01076000,0.6
01076500,0.7
01077000,0.6
01077400,0.1
01078000,1.6
01081000,0.4
01081500,0.8
01082000,13.0
01083000,3.3
01084000,0.8
01084500,2.0
01085000,5.7
01085500,5.6
01085800,1.1
01086000,1.4
01087000,4.1
01088000,5.5
01089000,1.5
01089100,1.5
01089500,2.9
01090800,2.4
01091000,2.4
01091500,2.4
01092000,2.5
01093000,1.4
01093800,44.2
01093852,21.0
01094000,24.9
01094400,3.8
01094500,17.9
01095220,25.7
01095375,5.8
01095505,33.9
01096000,19.2
01096500,31.4
01096503,27.1
010965852,20.3
010965995,7.5
01096835,9.0
01096840,8.7
01096885,33.6
01097000,40.8
01097300,14.6
01097380,7.2
01097480,8.3
01098530,8.7
01099500,16.6
01100000,8.6
01100505,1.3
01100561,5.1
01100600,0.9
01100627,1.6
01101000,5.8
01101344,1.5
01101500,0.7
01102000,1.5
01102345,0.2
01102500,0.2
01103025,0.0
01103220,3.1
01103280,6.5
01103455,6.1
01103500,5.9
01104200,5.2
01104430,1.6
01104460,4.2
01104475,35.3
01104500,5.1
01105000,2.8
01105500,0.3
01105554,2.2
011055566,1.8
01105583,0.2
01105585,0.1
01105600,0.0
01105638,19.2
01105730,25.6
01105870,10.3
011058756,8.2
01105876,60.5
01105880,22.9
01105917,65.7
01105933,4.1
01106000,8.1
01106500,63.6
01108000,120.3
01108320,8.4
01108410,9.8
01108500,3.6
01109000,9.7
01109060,11.3
01109070,16.2
01109090,6.1
01109220,35.6
01109403,18.1
01109500,4.8
01109730,3.0
01110000,4.5
01110500,8.7
01111050,11.7
01111200,7.5
01111212,8.9
01111225,3.8
01111300,1.8
01111500,1.9
01112500,6.7
01113695,2.7
01113895,6.9
01114000,0.7
01114500,34.7
01115098,14.3
01115187,6.2
01115630,0.3
01115670,1.8
01115770,0.5
01116000,0.5
01116500,2.9
01116905,0.7
01117000,0.7
01117350,1.3
01117370,1.3
01117420,2.8
01117430,2.2
01117468,3.3
01117500,2.4
01117800,1.9
01118000,2.8
01118300,7.0
01118500,3.7
01119384,5.8
01119500,6.0
01120000,10.5
01120500,15.9
01121000,10.5
01122000,11.7
01122500,9.8
01123000,11.9
011230695,10.4
01123360,32.4
01123600,22.3
01124000,17.2
01124151,17.2
01124350,5.8
01124500,6.2
01125000,11.6
01125100,10.5
01125500,16.4
01126000,5.8
01126500,5.3
01127000,13.3
01127500,13.9
01127880,0.4
01128500,0.1
01129200,0.2
01130000,0.2
01133000,0.8
01134500,0.2
01135000,1.3
01135150,4.1
01135300,5.3
01135500,3.2
01137500,0.4
01138000,0.8
01139000,2.9
01139800,1.8
01141500,2.9
01141800,2.7
01142500,6.2
01144000,3.2
01145000,1.1
01150500,1.3
01150900,1.0
01151500,1.6
01152500,3.3
01153000,2.1
01153500,7.3
01153550,7.5
01154000,4.0
01154500,2.6
01155000,6.3
01155500,2.1
01155910,2.0
01156000,2.1
01156500,3.4
01157000,1.5
01158000,1.7
01158600,2.5
01160000,2.5
01160350,2.7
01161000,2.6
01161500,3.5
01162000,2.8
01162500,1.9
01163200,3.3
01164000,4.2
01165000,2.4
01165500,3.2
01166500,4.5
01168151,1.8
01168500,2.8
01169000,14.5
01169900,11.9
01170000,10.1
01170100,23.0
01170500,4.3
01170930,12.6
01171300,13.8
01171500,11.1
01172500,3.2
01173000,4.2
01173500,9.4
01174000,72.6
01174500,4.9
01174565,2.8
01174600,4.8
01174900,3.8
01175500,4.2
01175670,10.0
01176000,24.7
01176780,39.9
01177000,14.2
01179500,12.9
01180000,4.5
01180500,7.1
01181000,3.1
01183500,12.1
01184000,6.2
01184100,26.7
01184490,25.6
01184500,20.2
01185500,1.7
01186000,1.8
01186500,3.9
01187300,1.8
01187400,8.2
01187800,6.8
01188000,15.0
01188090,3.3
01189000,5.5
01189995,6.9
01190000,7.0
01190500,3.7
01191000,8.7
01192500,7.5
01192883,31.5
01193500,17.7
01194000,2.5
01194500,18.4
01195100,1.0
01195200,0.8
01195490,8.6
01196500,11.7
01196561,67.3
01196620,3.4
01197000,2.9
01197500,3.2
01198000,5.0
01198125,4.0
01198500,6.0
01199000,4.4
01199050,7.8
01199200,7.1
01200000,15.8
01200500,6.9
01201487,4.9
01202501,7.8
012035055,7.4
01203510,5.0
01203600,15.4
01203805,5.3
01204000,7.6
01205500,7.1
01205600,4.7
01205700,4.6
01206900,5.8
01208500,6.9
01208873,0.2
01208925,6.2
01208950,3.6
01208990,1.9
012095493,1.0
01209700,1.6
01209761,1.9
01209901,0.7
01300000,0.7
01300500,0.1
01301000,0.8
01301500,0.2
01302000,0.6
01302020,0.4
01302500,0.0
01303000,0.0
01303500,0.0
01304000,0.2
01304500,52.2
01305000,5.7
01305500,0.3
01306000,0.1
01306440,0.1
01306460,2.7
01306500,36.2
01307000,0.0
01307500,0.0
01308000,0.2
01308500,0.1
01309000,0.0
01309500,0.1
01309950,0.0
01310000,0.0
01310500,0.0
01311000,0.0
01311500,0.1
01311810,0.0
01312000,0.0
01315000,0.0
01315500,0.0
01317000,0.2
01318500,0.1
01319000,0.0
01321000,0.0
01325000,1.1
01327750,0.6
01328000,48.2
01329000,2.0
01329490,13.0
01329500,12.8
01330000,5.8
01330500,5.2
01331095,6.2
01331500,4.5
01332000,1.3
01332500,2.8
01333000,4.0
01333500,4.2
01334000,2.3
01334500,10.4
01335754,8.3
01336000,13.6
01343060,0.3
01346000,6.0
01347000,23.1
01348000,3.4
01349000,41.1
01349150,31.1
01349700,2.1
01349705,1.5
01349711,0.1
01349810,1.3
01349840,0.1
01349950,3.1
01350000,2.3
01350035,18.5
01350080,9.2
01350101,4.6
01350120,10.1
01350140,9.6
01350180,5.3
01350355,5.2
01351500,13.2
01356190,5.2
01357500,21.1
01358000,13.7
01359750,21.3
01360640,6.0
01361500,3.2
013621955,4.4
01362198,1.3
01362200,1.2
0136230002,0.1
01362370,0.1
01362497,1.4
01362500,0.9
01363382,0.1
01364500,3.9
01364959,0.0
01365000,0.8
01365500,3.3
01366650,1.9
01367500,4.1
01367800,27.4
01368000,20.9
01369000,108.1
01369500,84.5
01371500,130.1
01372058,26.9
01372500,16.1
0137449480,3.0
01374505,2.4
01374531,2.3
01374559,1.3
01374581,1.3
01374598,0.2
0137462010,0.7
01374654,1.8
01374701,0.8
01374781,1.1
01374821,5.9
01374890,1.8
01374901,1.8
01374918,1.5
01374930,0.7
01374941,6.7
01374987,1.9
0137499350,36.7
01375000,5.9
01376500,2.3
01376800,0.0
01377000,0.2
01377370,0.1
01377500,31.0
01378500,8.0
01379000,18.9
01379500,11.4
01379530,0.4
01379773,0.7
01379780,1.1
01379790,1.4
01380500,2.5
01381000,2.5
01381400,1.6
01381500,2.6
01381800,6.1
01381900,5.9
01382170,0.6
01382500,0.6
01383500,1.1
01384000,0.9
01384500,1.0
01386000,0.5
01387400,3.4
01387420,3.2
01387450,0.0
01387500,2.9
01388000,3.1
01388500,2.0
01389500,5.3
01389550,0.6
01389890,5.0
01390450,0.0
01390500,13.0
01391000,2.2
01391500,6.5
01392210,0.1
01393450,0.8
01393500,0.8
01394500,0.6
01395000,0.4
01396000,0.2
01396091,8.2
01396190,19.7
01396500,22.2
01396580,17.1
01396582,17.0
01396660,13.2
01396800,14.0
01397000,22.5
01398000,53.1
01398500,4.1
01399100,8.0
01399500,8.4
01399510,23.6
01399670,68.7
01400000,19.8
01400500,26.7
01401000,28.9
01401650,16.3
01402000,45.8
01402600,4.1
01403060,33.0
01403150,1.2
01403400,1.5
01403500,0.9
01403535,0.0
01403540,0.2
01403900,0.9
01405000,38.4
01405030,38.6
01405400,96.9
01405500,65.1
01406050,19.4
01407290,60.4
01407500,57.7
01407705,15.8
01407760,10.5
01408000,31.2
01408029,26.0
01408120,12.1
01408500,4.3
01409000,1.8
01409280,0.7
01409400,7.2
01409500,23.6
01409810,2.9
01410000,0.9
01410150,0.3
01410500,5.0
01411000,50.2
01411300,4.3
01411456,262.4
01411500,255.0
01412800,302.0
01413088,8.7
01413398,5.0
01413408,3.8
01413500,6.0
01414000,8.5
01414500,2.3
01415000,6.7
01415460,5.5
01417000,5.6
01417500,5.0
01418500,1.4
01419500,2.6
01420000,4.4
01420500,2.4
01420980,3.8
01421000,3.8
01421610,15.3
01421618,12.4
01421900,7.4
01422000,7.4
01422389,2.4
01422500,8.1
01422738,11.2
01422747,11.9
01423000,8.0
0142400103,7.5
01425000,7.0
01426000,6.5
01426500,6.8
01427207,4.9
01427500,6.5
01427510,4.8
01428000,2.4
01428500,5.3
01428750,6.4
01429000,5.9
01429500,4.3
01430000,5.2
01431500,5.6
01432000,4.8
01432110,4.6
01432900,8.9
01433500,5.5
01434000,4.8
0143400680,0.0
01434017,0.4
01434021,0.0
01434025,0.1
01434498,0.4
01435000,0.5
01436000,1.6
01436500,3.6
01436690,3.5
01437000,2.8
01437500,3.7
01438500,5.2
01439500,0.2
01439800,0.9
01440000,6.8
01440200,5.3
01440400,2.7
01440485,0.3
01441495,1.9
01442500,4.1
01443280,24.6
01443500,13.9
01443900,1.3
01445000,50.6
01445500,25.5
01446000,26.2
01446500,6.6
01446775,55.0
01446776,55.2
01447500,3.1
01447680,16.5
01447720,4.6
01447800,4.6
01448500,2.9
01449000,4.6
01449360,26.0
01449500,0.4
01449800,17.5
01450000,19.3
01450500,14.8
01451000,9.0
01451500,151.3
01451650,137.8
01451800,99.7
01452000,131.2
01452500,143.0
01453000,40.0
01454700,40.1
01455500,2.8
01456000,5.5
01457000,48.1
01457500,18.4
01459500,36.0
01460880,31.5
01461300,28.9
01463500,19.6
01463620,76.1
01464000,42.9
01464500,45.9
01464645,63.9
01464720,66.8
01464750,48.4
01464907,39.0
01465500,58.3
01465798,1.1
01465850,19.2
01465880,14.7
01466500,0.1
01466900,3.1
01467000,5.4
01467042,3.3
01467048,2.6
01467081,181.6
01467086,0.0
01467087,0.0
01467150,20.1
01467471,1.2
01467492,1.3
01467500,4.8
01467688,0.8
01467752,2.4
01467861,0.7
01468500,6.1
01469500,51.4
01469700,35.1
01470500,22.7
01470756,82.6
01470779,168.2
01470853,36.4
01470960,113.5
01471000,106.8
01471510,65.0
01471875,63.8
01471980,86.5
01472000,60.4
01472157,32.8
01472198,77.5
01472199,61.7
01472620,77.9
01472810,51.2
01473000,58.9
01473120,36.4
01473169,8.3
01473500,55.6
01473800,54.3
01473900,10.4
01474000,6.8
01474500,52.4
01475000,861.3
01475300,6.7
01475510,1.4
01475530,0.0
01475548,0.0
01475550,0.0
01475850,12.0
01476480,19.8
01477000,20.8
01477120,1353.6
01477800,0.6
01478000,74.7
01478120,76.9
01478245,51.6
01478500,47.1
01478650,45.6
01479000,37.1
01479820,51.2
01480000,56.0
01480015,50.6
01480300,99.5
01480400,51.1
01480500,73.0
01480617,69.5
01480638,25.6
01480675,34.7
01480685,40.6
01480700,52.1
01480870,53.0
01481000,56.7
01481500,52.8
01482500,77.9
01483000,64.8
01483155,173.6
01483200,87.3
01483700,113.9
01484000,129.5
01484085,123.9
01484100,88.2
01484300,115.7
01484500,144.2
