STAID,ECO3_SITE,HLR100M_SITE,HUC8_SITE,NUTR_ECO_SITE,USDA_LRR_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_DOM_100M,HLR_BAS_PCT_100M,NUTR_BAS_DOM,NUTR_BAS_PCT,PNV_BAS_DOM,PNV_BAS_PCT
01011000,58,16,01010002,8,R,5.3,58,100.0,11,77.2,8,100.0,51,66.0
01013500,82,16,01010003,8,R,5.3,82,59.0,11,41.8,8,100.0,53,30.4
01015800,82,7,01010004,8,R,5.3,82,63.2,7,55.9,8,100.0,51,47.0
01016500,82,7,01010004,8,R,5.3,58,71.8,11,46.0,8,100.0,51,49.5
01017000,82,9,01010004,8,R,5.3,82,65.9,7,47.8,8,100.0,51,51.4
01017060,82,9,01010004,8,R,5.3,82,100.0,9,98.4,8,100.0,51,100.0
01017290,82,9,01010004,8,R,5.3,82,100.0,11,44.9,8,100.0,51,53.5
01017550,82,9,01010005,8,R,5.3,82,100.0,9,98.6,8,100.0,51,98.4
01017960,82,9,01010005,8,R,5.3,82,100.0,9,52.9,8,100.0,51,85.2
01018000,82,16,01010005,8,R,5.3,82,100.0,7,40.9,8,100.0,51,91.0
01018009,82,7,01010005,8,R,5.3,82,100.0,7,98.4,8,100.0,51,98.7
01019000,82,7,01050001,8,R,5.3,82,100.0,16,55.9,8,100.0,53,36.9
01021200,82,7,01050002,8,R,5.3,82,100.0,7,88.2,8,100.0,51,43.3
01021470,82,2,01050002,8,R,5.3,82,100.0,2,98.1,8,100.0,51,99.7
01021480,82,7,01050002,8,R,5.3,82,100.0,7,100.0,8,100.0,51,64.4
01021500,82,7,01050002,8,R,5.3,82,100.0,7,75.1,8,100.0,51,41.2
01022260,82,7,01050002,8,R,5.3,82,100.0,7,61.6,8,100.0,51,62.8
01022330,82,2,01050002,8,R,5.3,82,100.0,7,51.0,8,100.0,53,38.8
01022500,82,7,01050002,8,R,5.3,82,100.0,7,52.8,8,100.0,51,34.4
01023000,82,16,01050002,8,R,5.3,82,100.0,7,60.1,8,100.0,52,45.6
01027200,58,16,01020001,8,R,5.3,58,99.0,11,75.5,8,99.1,51,66.7
01029200,82,11,01020002,8,R,5.3,82,100.0,7,80.5,8,100.0,51,72.9
01029500,82,7,01020002,8,R,5.3,58,57.0,7,38.5,8,100.0,51,53.7
01030000,82,7,01020005,8,R,5.3,58,73.3,7,37.3,8,99.3,51,56.0
01030500,82,16,01020003,8,R,5.3,82,100.0,7,66.4,8,100.0,53,58.4
01031300,58,16,01020004,8,R,5.3,58,100.0,16,62.4,8,100.0,53,69.2
01031450,82,16,01020004,8,R,5.3,82,69.4,16,94.1,8,100.0,51,48.8
01031500,82,16,01020004,8,R,5.3,58,54.2,16,74.1,8,100.0,51,41.2
01031510,82,7,01020004,8,R,5.3,82,100.0,7,98.1,8,100.0,51,67.5
01033000,82,11,01020004,8,R,5.3,58,56.8,16,77.1,8,100.0,51,52.5
01033500,82,16,01020004,8,R,5.3,58,70.7,16,84.4,8,100.0,51,38.4
01034000,82,7,01020004,8,R,5.3,82,50.6,16,67.4,8,100.0,51,53.6
01034500,82,7,01020005,8,R,5.3,82,54.1,7,45.0,8,99.6,51,46.7
01035000,82,7,01020005,8,R,5.3,82,100.0,7,68.7,8,100.0,51,77.8
01036500,82,7,01020005,8,R,5.3,82,100.0,11,49.3,8,100.0,51,73.2
01037380,82,7,01050002,8,R,5.3,82,100.0,7,99.8,8,100.0,51,58.9
01038000,82,11,01050003,8,R,5.3,82,100.0,7,70.7,8,100.0,53,42.8
01041000,58,7,01030001,8,R,5.3,58,99.7,16,52.9,8,99.8,51,47.5
01042500,58,16,01030001,8,R,5.3,58,99.8,16,50.2,8,99.8,51,51.8
01043500,58,16,01030002,8,R,5.3,58,99.7,16,83.2,8,99.8,51,43.6
01044550,58,16,01030002,8,R,5.3,58,100.0,16,89.4,8,100.0,51,55.3
01045000,58,16,01030002,8,R,5.3,58,99.8,16,86.0,8,99.9,51,49.9
01046000,58,16,01030003,8,R,5.3,58,100.0,11,35.9,8,100.0,51,57.0
01046500,58,16,01030003,8,R,5.3,58,99.8,16,63.4,8,99.8,51,51.2
01047000,82,7,01030003,8,R,5.3,58,97.5,16,87.3,8,100.0,50,37.6
01047150,82,7,01030003,8,R,5.3,58,95.3,16,66.0,8,99.9,51,48.3
01047200,58,16,01030003,8,R,5.3,58,100.0,16,100.0,8,100.0,43,80.9
01048000,82,11,01030003,8,R,5.3,58,70.9,16,91.0,8,100.0,50,30.0
01048220,82,16,01030003,8,R,5.3,82,76.0,16,99.4,8,100.0,51,79.8
01049000,82,7,01030003,8,R,5.3,82,100.0,7,48.6,8,100.0,53,49.6
01049265,82,11,01030003,8,R,5.3,58,64.5,16,55.2,8,99.9,51,34.2
01049500,82,11,01030003,8,R,5.3,82,100.0,7,59.1,8,100.0,53,51.8
01052500,58,16,01040001,8,R,5.3,58,100.0,16,99.8,8,100.0,43,61.0
01053500,58,16,01040001,8,R,5.3,58,99.7,16,83.9,8,99.7,43,47.9
01053600,58,16,01040001,8,R,5.3,58,99.7,16,85.7,8,99.7,43,45.7
01054000,58,16,01040001,8,R,5.3,58,99.7,16,87.4,8,99.8,43,42.4
01054200,58,16,01040002,8,R,5.3,58,100.0,18,35.5,8,100.0,43,41.8
01054300,58,16,01040002,8,R,5.3,58,100.0,16,79.6,8,100.0,51,35.4
01054500,58,16,01040002,8,R,5.3,58,99.8,16,81.9,8,99.8,43,38.8
01055000,58,16,01040002,8,R,5.3,58,100.0,16,100.0,8,100.0,43,47.6
01055500,82,7,01040002,8,R,5.3,58,69.7,16,89.8,8,100.0,51,85.0
01057000,58,16,01040002,8,R,5.3,58,100.0,16,99.6,8,100.0,50,66.3
01058500,82,7,01040002,8,R,5.3,58,93.4,16,70.2,8,100.0,51,66.2
01059000,82,16,01040002,8,R,5.3,58,88.8,16,79.4,8,99.9,51,42.8
